Rk,Player,Pos,Age,Tm,G,MP,PER,3PAr,FTr,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,,%Game,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Salary
506,Moritz Wagner,C,23,BOS,9,61,-1,0.429,0.143,-0.2,0.1,-0.2,-0.146,-10.8,-0.7,-11.5,-0.1,,0.1,0.37,5.4,29.4,17.3,12.4,0,1.5,37.7,16.9,449115
506,Moritz Wagner,C,23,ORL,11,286,11.5,0.462,0.355,0.2,0.2,0.4,0.063,-3,-1,-4,-0.1,,0.1,0.563,3.9,16.1,9.8,6.3,0.7,2.9,10.8,18.2,449115
507,Kemba Walker,PG,30,BOS,43,1369,17.7,0.522,0.22,2.1,1.1,3.3,0.115,2.5,-0.7,1.8,1.3,,1,0.559,1.3,12.6,6.9,23.8,1.7,0.8,10.6,26.1,449115
508,Lonnie Walker,SG,22,SAS,60,1522,9.8,0.463,0.115,-0.5,0.9,0.4,0.012,-2.2,-1.7,-3.8,-0.7,,1,0.523,1,10.1,5.4,9.6,0.9,0.8,9.2,20.1,449115
509,John Wall,PG,30,HOU,40,1288,15.4,0.343,0.291,-1,0.8,-0.2,-0.007,1.4,-1.6,-0.2,0.6,,1,0.503,1.3,9.7,5.3,36.2,1.5,2.1,14.7,31.7,449115
510,Brad Wanamaker,PG,31,TOT,61,1053,9.5,0.284,0.338,-0.2,1,0.9,0.039,-4.6,-0.2,-4.8,-0.7,,0.5,0.489,1.8,8.8,5.3,22.5,1.9,1,17.1,16.9,449115
510,Brad Wanamaker,PG,31,GSW,39,625,8.5,0.353,0.324,-0.2,0.7,0.5,0.036,-4.7,0.3,-4.4,-0.4,,0.3,0.468,1.4,9.8,5.6,20.8,2,0.8,15.8,16,449115
510,Brad Wanamaker,PG,31,CHO,22,428,10.9,0.19,0.357,0.1,0.3,0.4,0.044,-4.4,-0.8,-5.3,-0.4,,0.2,0.518,2.5,7.5,4.9,25,1.9,1.2,18.9,18.1,449115
511,T.J. Warren,SF,27,IND,4,117,11.6,0.137,0.196,0.1,0.1,0.1,0.045,-3,-2.5,-5.5,-0.1,,1,0.56,1.9,11.1,6.5,6.5,0.8,0,6.7,21.6,449115
512,P.J. Washington,PF,22,CHO,64,1954,13.4,0.423,0.211,0.3,2.4,2.7,0.066,-1.4,0.3,-1.1,0.5,,1,0.549,5.1,18.3,11.6,12.2,1.7,4,14.6,19.4,449115
513,Yuta Watanabe,SF,26,TOR,50,723,12.2,0.5,0.161,0.7,0.8,1.5,0.102,-1.1,0.4,-0.7,0.2,,1,0.565,5.3,19.4,12.1,7.7,1.7,2.6,9,12.7,449115
514,Tremont Waters,PG,23,BOS,26,238,14.6,0.452,0.202,0.2,0.2,0.4,0.08,0.3,0,0.3,0.1,,1,0.541,2.3,7.5,4.9,36.4,3.1,0.4,22.8,21.4,449115
515,Paul Watson,SF,26,TOR,27,297,10.9,0.78,0.098,0.4,0.2,0.6,0.096,-0.7,-0.7,-1.4,0,,1,0.649,1.4,15.7,8.3,8.2,1,1,9.5,13.7,449115
516,Quinndary Weatherspoon,SG,24,SAS,20,121,9.6,0.171,0.457,-0.1,0.1,0.1,0.023,-5.9,0.8,-5.1,-0.1,,1,0.547,2.6,7.2,4.8,9.1,3.2,1.4,19.2,18.7,449115
